invite_id,deal_id,deal_created_at,deal_status,deal_material_id,deal_quantity_kg,deal_price_kg_nationalcurrency,deal_valid_from,deal_valid_to
2579,10400,2019-08-29 07:28:35.378599+00:00,EXPIRED,82664050,48000.0,2.35,2019-03-28 00:00:00+00:00,2019-03-29 00:00:00+00:00
2583,10401,2019-08-29 07:28:35.379594+00:00,EXPIRED,82664050,64000.0,2.35,2019-03-28 00:00:00+00:00,2019-03-29 00:00:00+00:00
2585,10403,2019-08-29 07:28:35.381611+00:00,EXPIRED,82664050,256000.0,2.28,2019-03-28 00:00:00+00:00,2019-03-29 00:00:00+00:00
2599,10407,2019-08-29 07:28:35.385613+00:00,EXPIRED,82664050,96000.0,2.35,2019-04-01 00:00:00+00:00,2019-04-02 00:00:00+00:00
2603,10405,2019-08-29 07:28:35.383640+00:00,EXPIRED,82664050,96000.0,2.15,2019-04-01 00:00:00+00:00,2019-04-02 00:00:00+00:00
2613,10413,2019-08-29 07:28:35.392834+00:00,EXPIRED,82664050,96000.0,2.35,2019-04-09 00:00:00+00:00,2019-04-10 00:00:00+00:00
2617,10411,2019-08-29 07:28:35.390761+00:00,EXPIRED,82664050,32000.0,2.35,2019-04-09 00:00:00+00:00,2019-04-10 00:00:00+00:00
2621,10409,2019-08-29 07:28:35.388466+00:00,EXPIRED,82664050,96000.0,2.15,2019-04-05 00:00:00+00:00,2019-04-06 00:00:00+00:00
2920,10394,2019-08-29 07:28:35.371842+00:00,EXPIRED,2607925,24000.0,1.38,2019-04-24 00:00:00+00:00,2019-04-25 00:00:00+00:00
2924,10396,2019-08-29 07:28:35.374430+00:00,EXPIRED,82202073,24000.0,1.51,2019-04-24 00:00:00+00:00,2019-04-25 00:00:00+00:00
2930,10402,2019-08-29 07:28:35.380543+00:00,EXPIRED,242016,24000.0,1.5,2019-04-26 00:00:00+00:00,2019-04-27 00:00:00+00:00
2934,10398,2019-08-29 07:28:35.376551+00:00,EXPIRED,2375501,48000.0,1.4,2019-04-24 00:00:00+00:00,2019-04-25 00:00:00+00:00
3063,10423,2019-08-29 07:28:35.403096+00:00,EXPIRED,84016099,32000.0,1.94,2019-05-09 00:00:00+00:00,2019-05-10 00:00:00+00:00
3087,10414,2019-08-29 07:28:35.393855+00:00,EXPIRED,2375501,50000.0,1.39,2019-04-29 00:00:00+00:00,2019-04-30 00:00:00+00:00
3091,10395,2019-08-29 07:28:35.373240+00:00,EXPIRED,1543729,52000.0,1.51,2019-04-29 00:00:00+00:00,2019-04-30 00:00:00+00:00
3095,10406,2019-08-29 07:28:35.384627+00:00,EXPIRED,2416860,78000.0,1.7,2019-04-29 00:00:00+00:00,2019-04-30 00:00:00+00:00
3107,10408,2019-08-29 07:28:35.387061+00:00,EXPIRED,242016,52000.0,1.46,2019-04-29 00:00:00+00:00,2019-04-30 00:00:00+00:00
3142,10418,2019-08-29 07:28:35.397973+00:00,EXPIRED,2607925,24000.0,1.38,2019-04-30 00:00:00+00:00,2019-05-01 00:00:00+00:00
3146,10410,2019-08-29 07:28:35.389708+00:00,EXPIRED,81351687,52000.0,1.6,2019-04-29 00:00:00+00:00,2019-04-30 00:00:00+00:00
3179,10416,2019-08-29 07:28:35.395914+00:00,EXPIRED,82664050,32000.0,2.35,2019-04-29 00:00:00+00:00,2019-04-30 00:00:00+00:00
3194,10399,2019-08-29 07:28:35.377567+00:00,EXPIRED,2416860,26000.0,1.7,2019-04-29 00:00:00+00:00,2019-04-30 00:00:00+00:00
3198,10415,2019-08-29 07:28:35.394900+00:00,EXPIRED,1543729,26000.0,1.51,2019-04-29 00:00:00+00:00,2019-04-30 00:00:00+00:00
3251,10420,2019-08-29 07:28:35.400015+00:00,EXPIRED,82664050,16000.0,2.35,2019-04-30 00:00:00+00:00,2019-05-01 00:00:00+00:00
3294,10397,2019-08-29 07:28:35.375482+00:00,EXPIRED,242016,25000.0,1.37,2019-04-30 00:00:00+00:00,2019-05-01 00:00:00+00:00
3318,10412,2019-08-29 07:28:35.391798+00:00,EXPIRED,242016,25000.0,1.37,2019-05-02 00:00:00+00:00,2019-05-03 00:00:00+00:00
3324,10417,2019-08-29 07:28:35.396957+00:00,EXPIRED,82664050,96000.0,2.07,2019-05-06 00:00:00+00:00,2019-05-07 00:00:00+00:00
3328,10421,2019-08-29 07:28:35.401080+00:00,EXPIRED,82664050,96000.0,2.07,2019-05-06 00:00:00+00:00,2019-05-07 00:00:00+00:00
3344,10425,2019-08-29 07:28:35.405205+00:00,EXPIRED,82212389,96000.0,1.6,2019-05-10 00:00:00+00:00,2019-05-11 00:00:00+00:00
3348,10422,2019-08-29 07:28:35.402097+00:00,EXPIRED,242016,55000.0,1.52,2019-05-10 00:00:00+00:00,2019-05-11 00:00:00+00:00
3399,10404,2019-08-29 07:28:35.382636+00:00,EXPIRED,82664050,112000.0,2.3,2019-05-09 00:00:00+00:00,2019-05-10 00:00:00+00:00
3500,10419,2019-08-29 07:28:35.398997+00:00,EXPIRED,2607925,24000.0,1.38,2019-05-13 00:00:00+00:00,2019-05-14 00:00:00+00:00
3603,10424,2019-08-29 07:28:35.404109+00:00,EXPIRED,82664050,112000.0,2.07,2019-05-14 00:00:00+00:00,2019-05-15 00:00:00+00:00
3607,10427,2019-08-29 07:28:35.407308+00:00,EXPIRED,82664050,112000.0,2.07,2019-05-14 00:00:00+00:00,2019-05-15 00:00:00+00:00
3757,10433,2019-08-29 07:28:35.413900+00:00,EXPIRED,242016,168000.0,1.5,2019-05-24 00:00:00+00:00,2019-05-25 00:00:00+00:00
3761,10431,2019-08-29 07:28:35.411819+00:00,EXPIRED,2607925,280000.0,1.38,2019-05-24 00:00:00+00:00,2019-05-25 00:00:00+00:00
3769,10435,2019-08-29 07:28:35.415962+00:00,EXPIRED,242016,24000.0,1.55,2019-05-30 00:00:00+00:00,2019-05-31 00:00:00+00:00
3777,10426,2019-08-29 07:28:35.406233+00:00,EXPIRED,2607925,48000.0,1.4,2019-05-21 00:00:00+00:00,2019-05-22 00:00:00+00:00
3781,10443,2019-08-29 07:28:35.423849+00:00,EXPIRED,2416860,78000.0,1.72,2019-05-29 00:00:00+00:00,2019-05-30 00:00:00+00:00
3786,10437,2019-08-29 07:28:35.417914+00:00,EXPIRED,81351687,26000.0,1.64,2019-05-29 00:00:00+00:00,2019-05-30 00:00:00+00:00
3790,10445,2019-08-29 07:28:35.425918+00:00,EXPIRED,1543729,52000.0,1.59,2019-05-29 00:00:00+00:00,2019-05-30 00:00:00+00:00
3792,10436,2019-08-29 07:28:35.416959+00:00,EXPIRED,2375501,50000.0,1.43,2019-05-29 00:00:00+00:00,2019-05-30 00:00:00+00:00
3794,10440,2019-08-29 07:28:35.420886+00:00,EXPIRED,242016,104000.0,1.54,2019-05-29 00:00:00+00:00,2019-05-30 00:00:00+00:00
3829,10428,2019-08-29 07:28:35.408316+00:00,EXPIRED,82664050,32000.0,2.15,2019-05-22 00:00:00+00:00,2019-05-23 00:00:00+00:00
3833,10430,2019-08-29 07:28:35.410828+00:00,EXPIRED,82664050,160000.0,2.15,2019-05-22 00:00:00+00:00,2019-05-23 00:00:00+00:00
3837,10429,2019-08-29 07:28:35.409787+00:00,EXPIRED,82664050,96000.0,2.15,2019-05-22 00:00:00+00:00,2019-05-23 00:00:00+00:00
3878,10432,2019-08-29 07:28:35.412886+00:00,EXPIRED,557971,99000.0,135.0,2019-05-24 00:00:00+00:00,2019-05-25 00:00:00+00:00
3889,10434,2019-08-29 07:28:35.414977+00:00,EXPIRED,82202073,24000.0,1.53,2019-05-27 00:00:00+00:00,2019-05-28 00:00:00+00:00
3895,10447,2019-08-29 07:28:35.427927+00:00,EXPIRED,82664050,64000.0,2.2,2019-05-30 00:00:00+00:00,2019-05-31 00:00:00+00:00
3906,10438,2019-08-29 07:28:35.418882+00:00,EXPIRED,557971,4500.0,169.0,2019-06-14 00:00:00+00:00,2019-06-15 00:00:00+00:00
3917,10441,2019-08-29 07:28:35.421890+00:00,EXPIRED,242016,26000.0,1.54,2019-05-30 00:00:00+00:00,2019-05-31 00:00:00+00:00
3924,10448,2019-08-29 07:28:35.428964+00:00,EXPIRED,84016099,64000.0,1.8,2019-06-18 00:00:00+00:00,2019-06-19 00:00:00+00:00
3928,10461,2019-08-29 07:28:35.442815+00:00,EXPIRED,84016099,32000.0,1.86,2019-06-12 00:00:00+00:00,2019-06-13 00:00:00+00:00
3955,10451,2019-08-29 07:28:35.431941+00:00,EXPIRED,82664050,32000.0,2.2,2019-05-30 00:00:00+00:00,2019-05-31 00:00:00+00:00
3959,10449,2019-08-29 07:28:35.429960+00:00,EXPIRED,82664050,32000.0,2.2,2019-05-30 00:00:00+00:00,2019-05-31 00:00:00+00:00
3961,10453,2019-08-29 07:28:35.434115+00:00,EXPIRED,84016099,128000.0,1.86,2019-05-31 00:00:00+00:00,2019-06-01 00:00:00+00:00
3986,10439,2019-08-29 07:28:35.419864+00:00,EXPIRED,242016,25000.0,1.45,2019-06-04 00:00:00+00:00,2019-06-05 00:00:00+00:00
3990,10446,2019-08-29 07:28:35.426918+00:00,EXPIRED,82212389,24000.0,1.6,2019-06-04 00:00:00+00:00,2019-06-05 00:00:00+00:00
4079,10444,2019-08-29 07:28:35.424908+00:00,EXPIRED,242016,25000.0,1.45,2019-06-05 00:00:00+00:00,2019-06-06 00:00:00+00:00
4146,10457,2019-08-29 07:28:35.438642+00:00,EXPIRED,82664050,16000.0,2.05,2019-06-10 00:00:00+00:00,2019-06-11 00:00:00+00:00
4150,10454,2019-08-29 07:28:35.435119+00:00,EXPIRED,82664050,208000.0,2.05,2019-06-10 00:00:00+00:00,2019-06-11 00:00:00+00:00
4161,10460,2019-08-29 07:28:35.441825+00:00,EXPIRED,82664050,38400.0,2.05,2019-06-12 00:00:00+00:00,2019-06-13 00:00:00+00:00
4170,10450,2019-08-29 07:28:35.430955+00:00,EXPIRED,557971,29700.0,140.0,2019-06-10 00:00:00+00:00,2019-06-11 00:00:00+00:00
4237,10455,2019-08-29 07:28:35.436128+00:00,EXPIRED,729276,22000.0,2.4,2019-06-11 00:00:00+00:00,2019-06-12 00:00:00+00:00
4246,10442,2019-08-29 07:28:35.422862+00:00,EXPIRED,82212389,96000.0,1.6,2019-06-12 00:00:00+00:00,2019-06-13 00:00:00+00:00
4250,10452,2019-08-29 07:28:35.432948+00:00,EXPIRED,242016,27500.0,1.57,2019-06-12 00:00:00+00:00,2019-06-13 00:00:00+00:00
4254,10456,2019-08-29 07:28:35.437112+00:00,EXPIRED,242016,27500.0,1.57,2019-06-12 00:00:00+00:00,2019-06-13 00:00:00+00:00
4298,10464,2019-08-29 07:28:35.445747+00:00,EXPIRED,80334770,100000.0,1.95,2019-06-18 00:00:00+00:00,2019-06-19 00:00:00+00:00
4318,10459,2019-08-29 07:28:35.440836+00:00,EXPIRED,82664050,64000.0,2.05,2019-06-18 00:00:00+00:00,2019-06-19 00:00:00+00:00
4321,10463,2019-08-29 07:28:35.444772+00:00,EXPIRED,82664050,16000.0,2.05,2019-06-18 00:00:00+00:00,2019-06-19 00:00:00+00:00
4333,10462,2019-08-29 07:28:35.443776+00:00,EXPIRED,3918533,110000.0,1.78,2019-06-19 00:00:00+00:00,2019-06-20 00:00:00+00:00
4338,10466,2019-08-29 07:28:35.447694+00:00,EXPIRED,3918738,66000.0,1.78,2019-06-19 00:00:00+00:00,2019-06-20 00:00:00+00:00
4343,10458,2019-08-29 07:28:35.439793+00:00,EXPIRED,3931726,44000.0,1.78,2019-06-19 00:00:00+00:00,2019-06-20 00:00:00+00:00
4419,10476,2019-08-29 07:28:35.457558+00:00,EXPIRED,87634230,13440.0,3.15,2019-07-01 00:00:00+00:00,2019-07-02 00:00:00+00:00
4474,10465,2019-08-29 07:28:35.446725+00:00,EXPIRED,80334770,100000.0,1.95,2019-06-24 00:00:00+00:00,2019-06-25 00:00:00+00:00
4479,10467,2019-08-29 07:28:35.448679+00:00,EXPIRED,82664050,16000.0,2.2,2019-06-20 00:00:00+00:00,2019-06-21 00:00:00+00:00
4491,10474,2019-08-29 07:28:35.455614+00:00,EXPIRED,242016,25000.0,1.55,2019-06-28 00:00:00+00:00,2019-06-29 00:00:00+00:00
4496,10480,2019-08-29 07:28:35.462068+00:00,EXPIRED,2416860,104000.0,1.72,2019-07-01 00:00:00+00:00,2019-07-02 00:00:00+00:00
4511,10469,2019-08-29 07:28:35.450696+00:00,EXPIRED,2607925,24000.0,1.42,2019-06-24 00:00:00+00:00,2019-06-25 00:00:00+00:00
4516,10468,2019-08-29 07:28:35.449738+00:00,EXPIRED,82202073,24000.0,1.55,2019-06-24 00:00:00+00:00,2019-06-25 00:00:00+00:00
4521,10477,2019-08-29 07:28:35.459111+00:00,EXPIRED,81351687,52000.0,1.61,2019-07-01 00:00:00+00:00,2019-07-02 00:00:00+00:00
4524,10478,2019-08-29 07:28:35.460092+00:00,EXPIRED,2375501,75000.0,1.4,2019-07-01 00:00:00+00:00,2019-07-02 00:00:00+00:00
4614,10470,2019-08-29 07:28:35.451637+00:00,EXPIRED,82664050,144000.0,1.95,2019-06-24 00:00:00+00:00,2019-06-25 00:00:00+00:00
4645,10472,2019-08-29 07:28:35.453647+00:00,EXPIRED,82033344,3150.0,2.65,2019-06-26 00:00:00+00:00,2019-06-27 00:00:00+00:00
4665,10473,2019-08-29 07:28:35.454634+00:00,EXPIRED,242016,72000.0,1.6,2019-06-27 00:00:00+00:00,2019-06-28 00:00:00+00:00
4668,10471,2019-08-29 07:28:35.452590+00:00,EXPIRED,2607925,112000.0,1.4,2019-06-25 00:00:00+00:00,2019-06-26 00:00:00+00:00
4696,10550,2019-08-29 07:28:35.535683+00:00,EXPIRED,557971,4500.0,160.0,2019-07-22 00:00:00+00:00,2019-07-23 00:00:00+00:00
4735,10483,2019-08-29 07:28:35.465093+00:00,EXPIRED,1543729,26000.0,1.7,2019-07-01 00:00:00+00:00,2019-07-02 00:00:00+00:00
4748,10549,2019-08-29 07:28:35.534677+00:00,EXPIRED,82664050,112000.0,1.95,2019-07-22 00:00:00+00:00,2019-07-23 00:00:00+00:00
4785,10491,2019-08-29 07:28:35.473646+00:00,EXPIRED,82664050,32000.0,2.05,2019-07-08 00:00:00+00:00,2019-07-09 00:00:00+00:00
4795,10487,2019-08-29 07:28:35.469054+00:00,EXPIRED,82664050,32000.0,2.05,2019-07-03 00:00:00+00:00,2019-07-04 00:00:00+00:00
4800,10502,2019-08-29 07:28:35.484460+00:00,EXPIRED,82664050,32000.0,2.05,2019-07-11 00:00:00+00:00,2019-07-12 00:00:00+00:00
4810,10553,2019-08-29 07:28:35.538543+00:00,EXPIRED,82664050,16000.0,2.05,2019-07-25 00:00:00+00:00,2019-07-26 00:00:00+00:00
4816,10482,2019-08-29 07:28:35.464119+00:00,EXPIRED,82664050,32000.0,2.05,2019-07-11 00:00:00+00:00,2019-07-12 00:00:00+00:00
4850,10485,2019-08-29 07:28:35.467070+00:00,EXPIRED,82664050,48000.0,1.85,2019-07-02 00:00:00+00:00,2019-07-03 00:00:00+00:00
4876,10492,2019-08-29 07:28:35.474620+00:00,EXPIRED,85308069,22000.0,1.85,2019-07-04 00:00:00+00:00,2019-07-05 00:00:00+00:00
4894,10490,2019-08-29 07:28:35.472659+00:00,EXPIRED,85308069,22000.0,1.85,2019-07-04 00:00:00+00:00,2019-07-05 00:00:00+00:00
4991,10493,2019-08-29 07:28:35.475608+00:00,EXPIRED,80334770,22000.0,2.05,2019-07-04 00:00:00+00:00,2019-07-05 00:00:00+00:00
4996,10489,2019-08-29 07:28:35.471666+00:00,EXPIRED,80334770,22000.0,2.0,2019-07-04 00:00:00+00:00,2019-07-05 00:00:00+00:00
5001,10495,2019-08-29 07:28:35.477566+00:00,EXPIRED,80334770,22000.0,2.05,2019-07-04 00:00:00+00:00,2019-07-05 00:00:00+00:00
